dataset_name,model_name,trainauc,trainacc,validauc,validacc,testauc,testacc
llama3.2:latest,dkt,0.899641686281103,0.8688477127967574,0.8854799876039954,0.8516284680337757,0.8919753086419753,0.8564593301435407
mistral:latest,dkt,0.8524448304703082,0.8486017357762777,0.8409003639520517,0.838405036726128,0.8371193547841673,0.8574358974358974
qwen2.5:latest,dkt,0.877499927319568,0.9588796185935636,0.8923571075605338,0.959917780061665,0.8540567027147843,0.959546925566343
deepseek-r1:1.5b,dkt,0.8101322331287298,0.7471424588792863,0.782530056764094,0.7254901960784313,0.7741513601488026,0.7123655913978495
assist2009,dkt,0.8651645810501989,0.8264216466502677,0.7980885505695816,0.7848637508587131,0.7949257484442167,0.7821289680745229
llama3.2:latest,sakt,0.8924144670477471,0.8694267515923567,0.8993063005077594,0.8468033775633294,0.893287128135613,0.8516746411483254
mistral:latest,sakt,0.8872868815543975,0.8662809386049501,0.8526703729673779,0.8467995802728226,0.8253089968381717,0.8512820512820513
qwen2.5:latest,sakt,0.9360982460534526,0.9597735399284862,0.8780404106956569,0.9609455292908532,0.869066244863573,0.9603559870550162
deepseek-r1:1.5b,sakt,0.8028937835744021,0.7329244494006133,0.7854846102316397,0.6911764705882353,0.7709461254857675,0.678763440860215
assist2009,sakt,0.8433283963244279,0.805353783822891,0.653840873456698,0.7226929242042592,0.6666720694793462,0.7347381749118206
llama3.2:latest,akt,0.8805519362250617,0.835842501447597,0.885587260721352,0.8576598311218335,0.8850919002434152,0.8526315789473684
mistral:latest,akt,0.8304606575307212,0.8460302153648345,0.8294600821396372,0.8436516264428122,0.818600679708503,0.8543589743589743
qwen2.5:latest,akt,0.6006288534605949,0.9585816448152562,0.8047136660627026,0.959917780061665,0.813704588827949,0.9603559870550162
deepseek-r1:1.5b,akt,0.788724782839419,0.7320880959018679,0.7778620033141769,0.7181372549019608,0.7801341880625767,0.7258064516129032
assist2009,akt,0.8521970126217353,0.8139487773115324,0.7909211276034941,0.7846347607052897,0.7851355837904072,0.7828524916342589
llama3.2:latest,simplekt,0.921542955615333,0.8659525188187609,0.9160647452859424,0.8576598311218335,0.9206640721792236,0.8516746411483254
mistral:latest,simplekt,0.8428384160072058,0.8486017357762777,0.8345186817589905,0.8436516264428122,0.824391728522395,0.8543589743589743
qwen2.5:latest,simplekt,0.8824992228784584,0.9585816448152562,0.8591253500247076,0.959917780061665,0.8677165895844438,0.9603559870550162
deepseek-r1:1.5b,simplekt,0.789226536583151,0.7290214664064678,0.7691428974368015,0.7132352941176471,0.7706056730992792,0.7150537634408602
assist2009,simplekt,0.9129881957445488,0.8594993488641296,0.7508062866905421,0.7637966567437601,0.746732741828452,0.7602423803925116
llama3.2:latest,dtransformer,0.9975818202196816,0.9808917197452228,0.9911678466709576,0.9734620024125452,0.9906605739939074,0.970334928229665
mistral:latest,dtransformer,0.9989641639323168,0.9884281581485052,0.9756502721292865,0.9590766002098636,0.9629711039345316,0.9476923076923076
qwen2.5:latest,dtransformer,0.868781629964912,0.9585816448152562,0.870230055454895,0.959917780061665,0.8629541117205095,0.9603559870550162
deepseek-r1:1.5b,dtransformer,0.9715286231976592,0.9091162531363256,0.9301977928991998,0.875,0.9316687149167968,0.8884408602150538
assist2009,dtransformer,0.9323686048993842,0.8649978295470988,0.7709403391118161,0.766888023814976,0.772091832968128,0.7728136022429231
gemma3:1b,dkt,0.8292511871309876,0.7845569620253164,0.8091790193842645,0.7735004476275739,0.8247492914759103,0.7886435331230284
gemma3:1b,sakt,0.8634945436961347,0.810126582278481,0.8219688331432915,0.7663384064458371,0.8269620667102682,0.7815457413249212
gemma3:1b,akt,0.8236292745945903,0.7754430379746835,0.8187024895477005,0.76544315129812,0.8277032919119249,0.7783911671924291
gemma3:1b,simplekt,0.9901301533600816,0.9716455696202532,0.9606375902698592,0.936436884512086,0.9413015042511446,0.9211356466876972
gemma3:1b,dtransformer,0.9887999070870834,0.9673417721518988,0.9854618015963512,0.9516562220232766,0.9721550032701112,0.9416403785488959
